-0.255982,-0.154985,-0.954177
0.936493,-0.275379,0.217134
-0.135394,0.052469,-0.989402
0.694345,0.384107,-0.608561
-0.258422,0.536619,-0.803279
0.904997,0.206536,-0.371919
-0.179309,-0.014889,-0.983680
0.724225,0.061598,-0.686807
-0.467161,-0.102026,-0.878266
0.739693,0.027416,-0.672386
-0.255721,-0.278209,-0.925854
0.250668,0.194937,-0.948243
0.055559,-0.042785,-0.997538
0.935466,0.316762,-0.156731
-0.005759,-0.006385,-0.999963
-0.349548,-0.111249,-0.930290
-0.076478,-0.030109,-0.996617
0.985550,-0.132599,0.105395
0.666412,-0.551180,-0.502091
0.347880,0.130156,-0.928461
0.043207,0.183566,-0.982057
0.989639,0.073381,-0.123412
0.521538,0.119563,-0.844809
-0.328569,-0.117117,-0.937190
0.535977,-0.171090,-0.826715
0.821087,0.470469,-0.323226
0.896544,0.151104,0.416385
0.801102,0.505804,-0.319998
-0.596546,0.452277,-0.663007
0.989811,-0.141866,-0.012198
0.970966,0.052359,-0.233416
-0.105415,-0.018270,-0.994260
0.094172,0.133191,-0.986606
0.925366,0.118912,-0.359943
0.261911,0.015921,-0.964961
-0.406153,-0.018654,-0.913615
-0.398650,-0.039212,-0.916265
-0.062212,-0.008149,-0.998030
0.919321,0.369726,-0.134726
0.644284,0.283017,-0.710493
0.252882,0.063966,-0.965380
0.915569,0.390423,-0.096451
0.215140,0.063131,-0.974541
-0.051291,0.046388,-0.997606
-0.224905,-0.444697,-0.866985
-0.360500,0.493530,-0.791497
0.979735,-0.056581,-0.192143
0.144581,0.099314,-0.984496
-0.725572,0.570889,-0.384229
0.972073,0.034166,-0.232177
-0.490953,0.488810,-0.721131
0.717246,0.668509,0.196608
0.577023,0.318787,-0.751944
-0.069370,-0.105401,-0.992007
-0.151162,0.075732,-0.985604
0.951120,0.167523,0.259437
-0.353530,-0.282596,-0.891715
0.525017,0.662912,-0.533765
-0.507597,0.304844,-0.805863
0.492323,0.253435,-0.832700
-0.635660,-0.134073,-0.760237
-0.308927,-0.236745,-0.921149
0.004597,0.882200,-0.470852
0.933156,0.221735,0.282937
-0.660912,0.100823,-0.743660
0.874032,0.386740,-0.294108
0.278413,0.229342,-0.932678
0.878882,0.461409,-0.121112
-0.530032,0.754571,-0.386896
